"APNI","DUP","Grn","Ind2","SDLP","SF","TUV","UCUNF","Independent76","Independent94","Constituency","CV1","CV17","CV42","CV67"
3377,13993,0,0,2019,2064,1826,7223,0,0,"Antrim East","DUP","DUP","DUP","DUP"
1368,19672,0,0,3738,5265,7114,4634,0,0,"Antrim North","DUP","DUP","DUP","DUP"
2607,11536,0,0,2955,4729,1829,10353,0,0,"Antrim South","DUP","UCUNF","UCUNF","UCUNF"
12839,11306,0,0,365,817,1856,7305,0,0,"Belfast East","APNI","APNI","APNI","APNI"
1809,14812,0,0,4544,12588,0,2837,0,0,"Belfast North","DUP","DUP","DUP","DUP"
5114,8100,1036,0,14026,0,0,5910,0,0,"Belfast South","SDLP","SDLP","SDLP","SDLP"
596,2436,0,0,5261,22840,0,1000,0,0,"Belfast West","SF","SF","SF","SF"
1876,0,1043,0,680,250,1634,6817,21181,0,"Down North","Independent76","Independent76","Independent76","Independent76"
560,3645,901,0,20648,12236,1506,3093,0,0,"Down South","SDLP","SDLP","SDLP","SDLP"
437,0,0,188,3574,21304,0,0,0,21300,"Fermanagh & South Tyrone","SF","SF","SF","SF"
223,4489,0,0,16922,12098,0,1221,0,0,"Foyle","SDLP","SDLP","SDLP","SDLP"
4174,18199,0,0,1835,1465,3154,7713,0,0,"Lagan Valley","DUP","DUP","DUP","DUP"
1922,12097,0,0,5399,6742,2572,6218,0,0,"Londonderry East","DUP","DUP","DUP","TUV"
545,5764,0,0,10526,18857,0,8558,0,0,"Newry & Armagh","SF","SF","SF","SF"
2828,14926,562,0,2164,1161,1814,9050,0,0,"Strangford","DUP","DUP","DUP","DUP"
859,7365,0,0,5212,18050,0,5281,0,0,"Tyrone West","SF","SF","SF","SF"
397,5876,0,0,5826,21239,2995,4509,0,0,"Ulster Mid","SF","SF","SF","SF"
1231,14000,0,0,5276,10237,0,10639,0,0,"Upper Bann","DUP","DUP","UCUNF","UCUNF"
