"Labour","UK.Independence.Party","Conservative","Plaid.Cymru","Liberal.Democrat","Green","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Cannabis.is.Safer.than.Alcohol.Party","Respect","Speaker","Ind38","Constituency","CV1","CV3","CV17","CV18","CV20","CV31","CV38","CV41","CV45","CV53","CV63","CV66","CV91","CV99","CV113","CV135","CV136","CV146","CV167","CV169","CV197","CV206","CV211","CV246","CV263","CV290","CV345","CV360","CV366","CV385","CV408","CV420","CV423","CV434","CV446","CV449","CV451","CV501","CV560","CV612","CV614","CV672","CV688","CV692","CV694","CV697","CV706","CV730","CV759","CV767","CV884","CV937","CV972","CV975","CV989","CV1001","CV1020","CV1054","CV1064","CV1097","CV1105","CV1164","CV1175","CV1202","CV1213","CV1221","CV1228","CV1229","CV1233","CV1290","CV1305","CV1308","CV1309","CV1335","CV1339","CV1362","CV1434","CV1446","CV1448","CV1450","CV1453","CV1462","CV1469","CV1511","CV1516","CV1535","CV1544","CV1571","CV1576","CV1581","CV1582","CV1586","CV1595","CV1602","CV1619","CV1649","CV1688","CV1708","CV1745","CV1757","CV1774","CV1783","CV1784","CV1795","CV1798","CV1813","CV1836","CV1858","CV1892","CV1897","CV1910","CV1929","CV1935","CV1945","CV1961","CV1966","CV1969","CV1970","CV1975","CV1977","CV1979","CV1980","CV2005","CV2006","CV2012","CV2015","CV2016","CV2017","CV2019","CV2020","CV2024","CV2027","CV2031","CV2038","CV2039","CV2045","CV2060","CV2075","CV2077","CV2082","CV2085","CV2087","CV2093","CV2094","CV2096","CV2101","CV2103","CV2115","CV2119","CV2147","CV2148","CV2163","CV2168","CV2186","CV2215","CV2238","CV2249","CV2268","CV2273","CV2287","CV2288","CV2289","CV2290","CV2296","CV2302","CV2360","CV2365","CV2373","CV2384","CV2386","CV2393","CV2410","CV2419","CV2429","CV2435","CV2437","CV2444","CV2456","CV2471","CV2474","CV2479","CV2486","CV2487","CV2525","CV2527","CV2534","CV2539","CV2570","CV2632","CV2645","CV2656","CV2688","CV2689","CV2693","CV2695","CV2697","CV2698"
15416,4971,3742,3663,1397,711,134,0,0,0,0,0,0,"Aberavon","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
8514,3467,12513,3536,1391,727,0,0,0,0,0,0,0,"Aberconwy","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green"
11397,0,5304,0,2050,0,206,24793,0,0,0,0,0,"Aberdeen North","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party"
12991,897,11087,0,2252,964,0,20221,0,0,0,0,0,"Aberdeen South","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green","Green"
15108,1088,3389,0,678,0,0,23887,0,0,0,0,0,"Airdrie and Shotts","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
8468,8253,23369,0,4076,2025,0,0,0,0,0,0,0,"Aldershot","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
8835,7751,20558,0,1330,826,0,0,0,0,0,0,0,"Aldridge-Brownhills","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party"
13481,4047,26771,0,4235,1983,0,0,0,0,0,0,0,"Altrincham and Sale West","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
16540,7260,13197,1608,1733,976,0,0,0,0,0,0,0,"Alyn and Deeside","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party"
15901,7263,20106,0,1360,1087,0,0,0,0,0,0,0,"Amber Valley","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party"
