"Con","Grn","DUP","SF","AP","SDLP","UUP","Ind131","Constituency","CV1","CV7","CV9","CV15","CV17","CV47","CV67","CV75"
446,561,23917,894,15443,167,1408,0,"Belfast East","DUP","DUP","DUP","DUP","DUP","AP","AP","DUP"
0,644,21240,19159,2475,2058,0,0,"Belfast North","DUP","DUP","DUP","DUP","DUP","DUP","SF","SF"
246,2241,13299,7143,7946,11303,1527,0,"Belfast South","DUP","DUP","SDLP","SDLP","SDLP","SDLP","AP","AP"
0,0,5455,27107,731,2860,0,0,"Belfast West","SF","SF","SF","SF","SF","SF","SF","SF"
963,0,21873,3555,5950,1278,4524,0,"East Antrim","DUP","DUP","DUP","DUP","DUP","DUP","DUP","DUP"
330,0,19723,10881,2538,4423,3135,0,"East Londonderry","DUP","DUP","DUP","DUP","DUP","DUP","DUP","DUP"
0,423,0,25230,886,2587,24355,0,"Fermanagh & South Tyrone","SF","UUP","UUP","UUP","UUP","UUP","UUP","UUP"
0,0,7398,18256,847,18087,0,0,"Foyle","SDLP","SDLP","SDLP","SDLP","SDLP","SDLP","SDLP","SDLP"
462,0,26762,1567,4996,3384,7533,0,"Lagan Valley","DUP","DUP","DUP","DUP","DUP","DUP","DUP","DUP"
0,0,12565,25455,1094,4563,3017,0,"Mid Ulster","SF","SF","SF","SF","SF","SF","SF","SF"
0,0,13177,25666,1256,9055,4425,0,"Newry & Armagh","SF","SF","SF","SF","SF","SF","SF","SF"
0,0,28521,7878,2723,2574,3482,0,"North Antrim","DUP","DUP","DUP","DUP","DUP","DUP","DUP","DUP"
941,2549,14940,531,3639,400,0,16148,"North Down","Ind131","Ind131","Ind131","Ind131","Ind131","Ind131","Ind131","Ind131"
0,0,16508,7797,3203,2362,13300,0,"South Antrim","DUP","DUP","DUP","DUP","UUP","UUP","UUP","UUP"
0,0,8867,20328,1814,17882,2002,0,"South Down","SF","SF","SF","SDLP","SDLP","SDLP","SDLP","SDLP"
507,607,24036,1083,5693,2404,4419,0,"Strangford","DUP","DUP","DUP","DUP","DUP","DUP","DUP","DUP"
0,0,22317,14325,2319,4397,7900,0,"Upper Bann","DUP","DUP","DUP","DUP","DUP","DUP","DUP","DUP"
0,427,11718,22060,1000,5635,2253,0,"West Tyrone","SF","SF","SF","SF","SF","SF","SF","SF"
