Constituency,Electorate,votes,region,country,Turnout,Labour,Alliance (Lib),Conservative,Plaid Cymru,Alliance (SDP),SNP,Ecology,Ind,Official Unionist Party,Ulster Popular Unionist,Democratic Unionist Party,Alliance,SDLP,Workers Party,Sinn Fein,Conservative for Capital Punishment,National Labour,BNP,National Front,Progressive Liberal,World Government,Campign for Black & White Unity,Communist,Labour & Trade Union,Noise Abatement,Ind Democratic Unionist Party,Radical & Anti-Parliamentarian,Jesus & His Cross,Ind Conservative,Stop Deportation of Black People,Workers Revolutionary Party,Revolutionary Communist,Ind Communist,Loony Monster,Ind Labour,Loony Society,Ethnic Minority,Conservative Against the Common Market,Freedom from World Domination,Freddie's Alternative Medicine Party,Cornish Nationalist,National Party,Christian Democrat,Fancy Dress Party,Wessex Regionalist,Mebyon Kernow,Women for Life on Earth,Ban Every Licensing Law Society,Law and Order,Anti-Censorship,Party of Associates with Licensees,Belgrano Blood Hunger,Ind Liberal,Anti-Vivisection,Fellowship,Party of Associates with Licensees,Local Ind Labour,Poet,Reintroduction of Hanging and Corporal Punishment,Freedom,One Nation Conservative,Prosperity for All,Spare the Earth Ecology,Modern Democratic Party,I O W Residents Party,Council for United Ireland,Islington & Finsbury Party,Socialist Party of GB,New Britain,Anti-Corruption,Against Cuts in Education,Workers Party for a Workers State,Assassins Bullet,Restoration of Capital and Corporal Punishment,Computer Democrat,Ind Powellite,Workers Charter with Pensioners Political Power,Servicemens & Citizens Association,Anti-Common Market,Referendum,Southport Back in Lancashire,Gizza Job,Nationalist,Ratepayer,Speaker
Aberavon,53443,,,,0.7562,23745,8206,6605,1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen North,63049,,,,0.6497,19262,,7426,,10118,3790,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen South,57540,,,,0.6874,11812,,15393,,10372,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldershot,77593,,,,0.7272,6070,19070,31288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge-Brownhills,60803,,,,0.783,11864,,24148,,11599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altrincham & Sale,65984,,,,0.7304,7684,14410,25321,,,,629,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyn & Deeside,56618,,,,0.7805,17806,,16438,413,9535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Valley,66720,,,,0.7723,18184,10989,21502,,,,,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus East,59359,,,,0.7349,3497,,19218,,4978,15691,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antrim East,58863,,,,0.6491,,,,,,,,741,14293,,13926,7620,1047,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antrim South,59321,,,,0.6546,,,,,,,,,17727,,10935,4612,3377,549,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antrim North,63254,,,,0.6984,,,,,,,451,,10749,,23922,,6193,,2860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll & Bute,47497,,,,0.7292,3204,9536,13380,,,8514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arundel,74849,,,,0.6972,4302,15391,31096,,,,,,,,,,,,,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashfield,69791,,,,0.7371,21859,13812,15772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashford,65442,,,,0.7325,6167,,27230,,13319,,569,,,,,,,,,,456,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton-under-Lyne,58963,,,,0.7158,20987,,13290,,7521,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aylesbury,72792,,,,0.7153,6364,,30230,,15310,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr,65010,,,,0.7666,13338,12740,21325,,,2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banbury,65324,,,,0.7524,9343,,26225,,13200,,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banff & Buchan,60403,,,,0.6695,3150,,16072,,6084,15135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barking,52362,,,,0.6535,14415,8770,10389,,,,,,,,,,,,,,,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsley Central,55115,,,,0.6628,21847,7011,7674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsley East,53611,,,,0.6728,23905,6413,5749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsley West & Penistone,60648,,,,0.7321,22560,,12218,,9624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow and Furness,67896,,,,0.7522,17707,,22284,,11079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basildon,69604,,,,0.6506,16137,,17516,,11634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basingstoke,71975,,,,0.7684,10646,,28381,,15931,,,,,,,,,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
