Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Liberal,Conservative,Plaid Cymru,Social Democratic,Scottish National,Ulster Unionist,Alliance,The Workers' (NI),Democratic Unionist,Social Democratic and Labour,Sinn Fein,Green,Moderate Labour,Workers' Revolutionary,Independent,Independent Ulster Democratic Unionist,Communist of Great Britain,Independent Conservative,Red Front,Independent Labour,Independent NFFG,Independent Liberal,Ulster Popular Unionist,Independent Ulster Unionist,Monster Raving Loony,Fellowship,Humanist,Rainbow Alliance,Independent Green,Socialist of Great Britain,Northern Ireland Ecology,Independent Democrat,Orkney and Shetland Movement,British National,Independent CS,Speaker
,Aberavon,,1987,52280,40628,27126,6517,5861,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen North,,1987,63214,44169,24145,,6330,,7867,5827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen South,,1987,62943,42256,15917,,14719,,8844,2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldershot,,1987,80797,59821,7061,17488,35272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldridge-Brownhills,,1987,62129,49556,14038,,26434,,9084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Altrincham and Sale,,1987,67611,51881,10617,13518,27746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alyn and Deeside,,1987,58373,47200,22916,,16533,478,7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amber Valley,,1987,68478,55610,19103,7904,28603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angus East,,1987,61060,46091,4971,,17992,,3592,19536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim East,,1987,60587,33460,0,,,,,,23942,8582,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim North,,1987,65733,41305,0,,,,,,,5140,,28383,5149,2633,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim South,,1987,61649,36406,0,,,,,,25395,5808,,,3611,1592,,,,,,,,,,,,,,,,,,,,,,,,,
,Argyll and Bute,,1987,48700,36792,4437,13726,12332,,,6297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arundel,,1987,78683,56009,6177,15476,34356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashfield,,1987,70937,54766,22812,13542,18412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashford,,1987,70052,53021,7775,,29978,,14490,,,,,,,,778,,,,,,,,,,,,,,,,,,,,,,,,
,Ashton-under-Lyne,,1987,58440,43252,22389,7760,13103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aylesbury,,1987,76919,57318,7936,,32970,,16412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayr,,1987,66450,53109,20760,7859,20942,,,3548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banbury,,1987,69455,52891,10789,,29716,,12386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banff and Buchan,,1987,62149,43975,3281,,17021,,4211,19462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barking,,1987,51639,34541,15307,7336,11898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley Central,,1987,55902,39155,26139,5928,7088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley East,,1987,53505,38867,28948,4482,5437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley West and Penistone,,1987,61091,46214,26498,,12307,,7409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barrow and Furness,,1987,69288,54735,21504,,25432,,7799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basildon,,1987,67985,50206,19209,9139,21858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basingstoke,,1987,78003,60053,10632,,33657,,15764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bassetlaw,,1987,68043,52773,25385,,19772,,7616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bath,,1987,65246,51812,5507,,23515,,22103,,,,,,,,687,,,,,,,,,,,,,,,,,,,,,,,,
,Batley and Spen,,1987,74347,58723,24150,,25512,,8372,,,,,,,,,689,,,,,,,,,,,,,,,,,,,,,,,
,Battersea,,1987,66979,47342,20088,,20945,,5634,,,,,,,,559,,116,,,,,,,,,,,,,,,,,,,,,,
,Beaconsfield,,1987,67713,50512,5203,11985,33324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beckenham,,1987,60110,44230,7888,11439,24903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire Mid,,1987,80675,63434,11463,,37411,,14560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire North,,1987,73536,56760,13140,13340,29845,,,,,,,,,,,,,435,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire South West,,1987,79336,62149,11352,,36140,,13835,,,,,,,,822,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast East,,1987,54628,32909,0,,,,,,,10574,1314,20372,,649,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast North,,1987,59124,36816,0,,,,,,14355,2871,3062,,5795,5062,,,,,5671,,,,,,,,,,,,,,,,,,,,
,Belfast South,,1987,54208,32706,0,,,,,,18917,6963,1528,,4268,1030,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast West,,1987,59324,40968,0,,,,,,7646,,1819,,14641,16862,,,,,,,,,,,,,,,,,,,,,,,,,
,Berkshire East,,1987,87820,64849,9287,,39094,,16468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berwick upon Tweed,,1987,54378,42042,7360,21903,12400,,,,,,,,,,379,,,,,,,,,,,,,,,,,,,,,,,,
,Bethnal Green and Stepney,,1987,55769,32104,15490,10206,6176,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,
,Beverley,,1987,78923,60224,9901,18864,31459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bexhill and Battle,,1987,65288,50524,3903,,33570,,13051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
