Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Aberavon,,1992,51655,40069,26877,5567,4999,1919,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen North,,1992,59911,40061,18845,6836,4772,,,9608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen South,,1992,58494,41089,14291,15808,4767,,,6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldershot,,1992,81755,64350,8552,36974,17786,,,,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldridge-Brownhills,,1992,63404,52341,17407,28431,6503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Altrincham and Sale,,1992,66248,53154,12275,29066,11601,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alyn and Deeside,,1992,60478,48432,25206,17355,4687,551,200,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amber Valley,,1992,70156,59418,26706,27418,5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angus East,,1992,63170,47398,5994,18052,3897,,,19006,,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim East,,1992,62864,39251,0,3359,,,,,,250,,16966,9544,9132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim North,,1992,69114,45501,0,2263,,,,,,,,8216,23152,3442,6512,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim South,,1992,67192,42239,0,,,,,,,,,29956,,5224,5397,1220,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argyll and Bute,,1992,47921,36491,4946,10117,12739,,,8689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arundel,,1992,79299,61064,8321,35405,15542,,,,1103,,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashfield,,1992,72528,58340,32018,19031,7291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashford,,1992,71768,56841,11365,31031,13672,,,,,,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashton-under-Lyne,,1992,58702,43366,24550,13615,4005,,,,907,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aylesbury,,1992,79090,63598,8517,36500,17640,,,,,239,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayr,,1992,65534,54407,22087,22172,4067,,,5949,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banbury,,1992,71847,58562,15495,32215,10602,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banff and Buchan,,1992,64472,46191,3803,17846,2588,,,21954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barking,,1992,50480,35313,18224,11956,5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley Central,,1992,55374,39056,27048,7687,4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley East,,1992,53956,39314,30346,5569,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley West and Penistone,,1992,63391,48006,27965,13461,5610,,,,,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barrow and Furness,,1992,67835,55647,26568,22990,6089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basildon,,1992,67442,53801,22679,24159,6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basingstoke,,1992,82962,68677,16323,37521,14119,,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bassetlaw,,1992,68583,54465,29061,19064,6340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bath,,1992,63838,52571,4102,21950,25718,,79,,172,,433,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batley and Spen,,1992,76387,60858,26221,27629,6380,,,,,,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Battersea,,1992,68207,52281,21550,26390,3659,,,,,98,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beaconsfield,,1992,66899,52879,7163,33817,10220,,166,,,196,,,,,,,,,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beckenham,,1992,59469,46285,11038,26323,8038,,,,643,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire Mid,,1992,81950,69140,15092,40230,11957,,,,1582,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire North,,1992,73789,59107,18302,29970,10014,,,,,178,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire South West,,1992,80120,65639,16225,37498,10988,,,,,239,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast East,,1992,52869,35791,0,3314,,,,,,128,,,18437,10650,,679,,,,2256,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast North,,1992,55068,35914,0,2107,,,,,,208,,17240,,2246,7615,4693,,,,,419,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast South,,1992,52050,33584,0,3356,,,,,,212,,16336,,5054,6266,1123,,,,,362,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast West,,1992,54644,39970,0,,,,,,,213,,4766,,,17415,16826,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berkshire East,,1992,90414,73574,14458,43898,15218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berwick-upon-Tweed,,1992,54937,43456,9933,14240,19283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bethnal Green and Stepney,,1992,55675,36443,20350,6507,8120,,,,,,,,,,,,,,,,,,,1310,156,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beverley,,1992,81033,64714,12026,34503,17986,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bexhill and Battle,,1992,65829,52070,4883,31380,15023,,190,,,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bexleyheath,,1992,57684,47403,11520,25606,10107,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Billericay,,1992,80287,66198,13880,37406,14912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birkenhead,,1992,62673,45733,29098,11485,4417,,,,,190,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Edgbaston,,1992,53058,37813,14222,18529,4419,,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Erdington,,1992,52414,36761,18549,13814,4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Hall Green,,1992,60103,46975,17984,21649,7342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Hodge Hill,,1992,57581,40832,21895,14827,3740,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Ladywood,,1992,56995,37559,24887,9604,3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Northfield,,1992,70563,53667,24433,23803,5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Perry Barr,,1992,72186,51685,27507,18917,5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Selly Oak,,1992,72195,55276,25430,23370,5679,,,,,178,535,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Sparkbrook,,1992,51682,34521,22116,8544,3028,,,,,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Yardley,,1992,54755,42697,14884,14722,12899,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,
