Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Aberavon,,1997,50025,35963,,,,,2835,,,,,341,25650,,4079,,,,,,,,2088,,,970,,,,,,,,,,,,
,Aberdeen Central,,1997,54257,35616,,,,,6944,,,,,,17745,,4714,,,,,,,,,,,446,5767,,,,,,,,,,,
,Aberdeen North,,1997,54302,38415,,,,,5763,,,,,,18389,,5421,,,,,,,,,,,463,8379,,,,,,,,,,,
,Aberdeen South,,1997,60490,44062,,,,,11621,,,,,,15541,,12176,,,,,,,,,,,425,4299,,,,,,,,,,,
,Aberdeenshire West and Kincardine,,1997,59123,43202,,,,,15080,,,,,,3923,,17742,,,,,,,,,,,808,5649,,,,,,,,,,,
,Airdrie and Shotts,,1997,57673,41181,,,,,3660,,,,,,25460,,1719,,,,,,,,,,,294,10048,,,,,,,,,,,
,Aldershot,,1997,76189,54151,,322,,,23119,,,,,361,13057,,16498,,,,,,,,,,,,,,,,,,,,794,,,
,Aldridge-Brownhills,,1997,62441,46370,,,,,21856,,,,,,19330,,5184,,,,,,,,,,,,,,,,,,,,,,,
,Altrincham and Sale West,,1997,70625,51782,,,,,22348,,,,,,20843,,6535,,,,,,125,313,,,,1348,,,,,,,,,270,,,
,Alyn and Deeside,,1997,58091,41948,,,,,9552,,,,,,25955,,4076,,,,,,,,738,,,1627,,,,,,,,,,,,
,Amber Valley,,1997,72005,54775,,,,,18330,,,,,,29943,,4219,,,,,,,,,,,2283,,,,,,,,,,,,
,Angus,,1997,59708,43076,,,,,10603,,,,,,6733,,4065,,,,,,,,,,,883,20792,,,,,,,,,,,
,Antrim East,,1997,58963,34347,6929,,,,2334,6682,,,,1145,0,,,,,,,,69,,,1751,,,,,543,1576,,,,13318,,,,
,Antrim North,,1997,72411,46186,2845,,,,,21495,,,,580,0,,,,,,,,116,,,,,,,,2896,7333,,,,10921,,,,
,Antrim South,,1997,69414,40195,4668,,,,,,,,,,0,,,,,,,,203,,,3490,,,,,2229,6497,,,,23108,,,,
,Argyll and Bute,,1997,49451,35720,,,,,6774,,,,,,5596,,14359,,,,,,,,,,,713,8278,,,,,,,,,,,
,Arundel and South Downs,,1997,67641,51337,,,,,27251,,,,,,9376,,13216,,,,,,,,,,,,,,,,,,,,1494,,,
,Ashfield,,1997,72269,50603,,595,,,10251,,,,,,32979,,4882,,,,,,,,,,,1896,,,,,,,,,,,,
,Ashford,,1997,74149,55294,,,,,22899,,,660,,,17544,,10901,,,,,,89,,,,,3201,,,,,,,,,,,,
,Ashton-under-Lyne,,1997,72206,47280,,,,,8954,,,,,,31919,,4603,,,458,,,,,,,,1346,,,,,,,,,,,,
,Aylesbury,,1997,79047,57554,,,,,25426,,,,,,12759,,17007,,,,,,166,,,,,2196,,,,,,,,,,,,
,Ayr,,1997,55829,44756,,,,,15136,,,,,,21679,,2116,,,,,,,,,,,200,5625,,,,,,,,,,,
,Banbury,,1997,77456,58446,,,,,25076,,,530,,,20339,,9761,,,,,,131,,,,,2245,,,,,,,,,364,,,
,Banff and Buchan,,1997,58493,40178,,,,,9564,,,,,,4747,,2398,,,,,,,,,,,1060,22409,,,,,,,,,,,
,Barking,,1997,53682,32964,,894,,,5802,,,,,,21698,,3128,,,,,,,159,,,,1283,,,,,,,,,,,,
,Barnsley Central,,1997,61133,36485,,,,,3589,,,,,,28090,,3481,,,,,,,,,,,1325,,,,,,,,,,,,
,Barnsley East and Mexborough,,1997,67840,43335,,,,,4936,,,,,201,31699,,4489,,,,,,,,,,,797,,,,,,1213,,,,,,
,Barnsley West and Penistone,,1997,64894,42208,,,,,7750,,,,,,25017,,7613,,,,,,,,,,,1828,,,,,,,,,,,,
,Barrow and Furness,,1997,66960,48230,,,,,13133,,,,,1995,27630,,4264,,,,,,,,,,,1208,,,,,,,,,,,,
,Basildon,,1997,73989,53082,,,,,16366,,,,,,29646,,4608,,,,,,,,,,,2462,,,,,,,,,,,,
,Basingstoke,,1997,77035,57129,,,,,24751,,,,,310,22354,,9714,,,,,,,,,,,,,,,,,,,,,,,
,Bassetlaw,,1997,68101,48001,,,,,11950,,,,,,29298,,4915,,,,,,,,,,,1838,,,,,,,,,,,,
,Bath,,1997,70815,53989,,,,,16850,,,580,,,8828,,26169,,,,,,55,,,,,1192,,,,,,,,,315,,,
,Batley and Spen,,1997,64209,46965,,472,,,17072,,,384,,,23213,,4133,,,,,,,,,,,1691,,,,,,,,,,,,
,Battersea,,1997,66928,47397,,,,,18687,,,,,,24047,,3482,,,,,,,,,,127,804,,,,,,,,,250,,,
,Beaconsfield,,1997,68959,50201,,,,,24709,,,,,1434,10063,,10722,,,,,,193,286,,,,2197,,,,,,,,,451,,,
,Beckenham,,1997,72807,54350,,,,,23084,,,,,,18131,720,9858,,,,,388,,,,,,1663,,,,,,,,,506,,,
,Bedford,,1997,66560,48944,,,,,16474,,,,,,24774,,6044,,,,,,149,,,,,1503,,,,,,,,,,,,
,Bedfordshire Mid,,1997,66979,52516,,,,,24176,,,,,,17086,,8823,,,,,,174,,,,,2257,,,,,,,,,,,,
,Bedfordshire South West,,1997,69781,52864,,,,,21534,,,,,,21402,,7559,,,,,,162,,,,,1761,,,,,,,,,446,,,
,Belfast East,,1997,61744,39029,9288,,,,928,16640,,,,541,0,,,,,,,,70,,,,,,,,810,629,,,,9886,,,237,
,Belfast North,,1997,64577,41452,2221,,,,,,,539,,,0,,,,,,,,88,,,,,,,,8375,8454,,,,21478,,,297,
,Belfast South,,1997,63439,39484,5112,,,,962,,,,,1204,0,,,,,,,,120,,,5687,,,,,2019,9601,,,,14201,,,286,
,Belfast West,,1997,61785,45885,,,,,,,,,,102,0,,,,,,,,91,,,,,,,,25662,17753,,,,1556,,,721,
,Berwick upon Tweed,,1997,56428,41803,,,,,10056,,,,,,10965,,19007,,,,,,,,,,,1423,,,,,,,,,352,,,
,Bethnal Green and Bow,,1997,73008,44682,,3350,,,9412,,,812,,1117,20697,2963,5361,,,,,,,,,,,557,,,,,,413,,,,,,
,Beverley and Holderness,,1997,71916,52542,,,,,21629,,,,,,20418,,9689,,,,,,111,,,,,,,,,,,,,,695,,,
,Bexhill and Battle,,1997,65584,48994,,,,,23570,,,,,,8866,,12470,,,,,,,,,,,3302,,,,,,,,,786,,,
,Bexleyheath and Crayford,,1997,63334,48223,,429,,,18527,,,,,,21942,,5391,,,,,,,,,,,1551,,,,,,,,,383,,,
