Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,Anti-Corruption Forum,Asian League,British National,Chairman of Sunrise Radio,Christian Democratic,Christian Peoples' Alliance,Church of the Militant Elvis,Communist of Britain,Community Candidate Empowering Change,Conservative,Countryside,Defend The Welfare State Against Blairism,Democratic Unionist,Direct Customer Service,Extinction Club,Fancy Dress,Free,Green,Grey,Independent,Independent Socialist,Independent Vote For Yourself,Isle of Wight,Jam Wrestling,John Lillburne Democratic,Justice,Kidderminster Hospital and Health Concern,Labour,Left Alliance,Legalise Cannabis Alliance,Liberal,Liberal Democrat,Liberated,Low Excise Duty,Marxist,Mebyon Kernow,Monster Raving Loony,Muslim,National Front,New Britain,New Millennium Bean,Northern Ireland Unionist,"Pacifist for Peace, Justice, Cooperation, Environment",Pathfinders,Pensioner Coalition,People's Choice,People's Justice,Plaid Cymru,Pro-Euro Conservative,Progress Democratic Members Decide Policy,Progressive Unionist,ProLife Alliance,Qari,Rate Payers,Reform 2000,Reform UK,Residents and Motorists of Great Britain,Rock 'n' Roll Loony,Scottish Freedom Referendum,Scottish National,Scottish Socialist,Scottish Unionist,Sinn Fein,Social Democratic and Labour,Socialist,Socialist Alliance,Socialist Alternative,Socialist Labour,Stuckist,Tatton Group Independent,The Speaker,Third Way,Truth,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Unrepresented People's,Wessex Regionalists,Women For Life On Earth,Women's Coalition (NI),Workers',Workers' Revolutionary
,Aberavon,,2001,49660,30190,,,,,,,,,,,2296,,,,,,,,,,,,,,,,,,19063,,,,2933,,,,,,,,,727,,,,,,,2955,,,,,,1960,,,,,,,,,,,,256,,,,,,,,,,,,,,,,
,Aberdeen Central,,2001,50098,26429,,,,,,,,,,,3761,,,,,,,,,,,,,,,,,,12025,,,,4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,5379,717,,,,,,,,,,,,,,,,,,,,,
,Aberdeen North,,2001,52746,30357,,,,,,,,,,,3047,,,,,,,,,,,,,,,,,,13157,,,,4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,8708,454,,,,,,,,,,,,,,,,,,,,,
,Aberdeen South,,2001,58907,36890,,,,,,,,,,,7098,,,,,,,,,,,,,,,,,,14696,,,,10308,,,,,,,,,,,,,,,,,,,,,,,,,,,,4293,495,,,,,,,,,,,,,,,,,,,,,
,Aberdeenshire West and Kincardine,,2001,61180,37914,,,,,,,,,,,11686,,,,,,,,,,,,,,,,,,4669,,,,16507,,,,,,,,,,,,,,,,,,,,,,,,,,,,4634,418,,,,,,,,,,,,,,,,,,,,,
,Airdrie and Shotts,,2001,58349,31736,,,,,,,,,,,1960,,,,,,,,,,,,,,,,,,18478,,,,2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,6138,1171,1439,,,,,,174,,,,,,,,,,,,,,
,Aldershot,,2001,78262,45315,,,,,,,,,,,19106,,,,,,,,630,,459,,,,,,,,11391,,,,12542,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,,,,,,,
,Aldridge-Brownhills,,2001,62388,37810,,,,,,,,,,,18974,,,,,,,,,,,,,,,,,,15206,,,,3251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,,,,,,,,,,,,,,,,
,Altrincham and Sale West,,2001,71820,43568,,,,,,,,,,,20113,,,,,,,,,,,,,,,,,,17172,,,,6283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alyn and Deeside,,2001,60478,35421,,,,,,,,,211,,9303,,,,,,,,881,,253,,,,,,,,18525,,,,4585,,,,,,,,,,,,,,,,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,
,Amber Valley,,2001,73798,44513,,,,,,,,,,,15874,,,,,,,,,,,,,,,,,,23101,,,,5538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angus,,2001,59004,35013,,,,,,,,,,,8736,,,,,,,,,,,,,,,,,,8183,,,,5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,12347,732,,,,,,,,,,,,,,,,,,,,,
,Antrim East,,2001,60897,36000,4483,,,,,,,,,,807,,,12973,,,,,,,1092,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,2641,,,,,,,,,,13101,,,,,,,,
,Antrim North,,2001,74451,49217,1258,,,,,,,,,,,,,24539,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822,8283,,,,,,,,,,10315,,,,,,,,
,Antrim South,,2001,70651,44158,1969,,,,,,,,,,,,,15355,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,972,,,,,,,,,,,,,,,,,,,,,4160,5336,,,,,,,,,,16366,,,,,,,,
,Argyll and Bute,,2001,49175,30957,,,,,,,,,,,6436,,,,,,,,,,,,,,,,,,7592,,,,9245,,,,,,,,,,,,,,,,,,,,,,,,,,,,6433,1251,,,,,,,,,,,,,,,,,,,,,
,Arundel and South Downs,,2001,70956,45889,,,,,,,,,,,23969,,,,,,,,,,,,,,,,,,9488,,,,10265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167,,,,,,,
,Ashfield,,2001,73428,39350,,,,,,,,,,,9607,,,,,,,,,,1471,,,,,,,,22875,,,,4428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,,380,,,,,,,,,,,,,,
,Ashford,,2001,76699,47937,,,,,,,,,,,22739,,,,,,,,1353,,,,,,,,,,15380,,,,7236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229,,,,,,,
,Ashton-under-Lyne,,2001,72820,35764,,,,1617,,,,,,,6822,,,,,,,,748,,,,,,,,,,22340,,,,4237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aylesbury,,2001,80002,49087,,,,,,,,,,,23230,,,,,,,,,,,,,,,,,,11388,,,,13221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,,,,,,,
,Ayr,,2001,55630,38560,,,,,,,,,,,14256,,,,,,,,,,,,,,,,,,16801,,,,2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,4621,692,,,,,,,,,,,,,,101,,,,,,,
,Banbury,,2001,83392,51515,,,,,,,,,,,23271,,,,,,,,1281,,,,,,,,,,18052,,,,8216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,
,Banff and Buchan,,2001,56496,30806,,,,,,,,,,,6207,,,,,,,,,,,,,,,,,,4363,,,,2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,16710,447,,,,,,,,,,,,,,310,,,,,,,
,Barking,,2001,55229,25126,,,,1606,,,,,,,5768,,,,,,,,,,,,,,,,,,15302,,,,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley Central,,2001,60086,27543,,,,,,,,,,,3608,,,,,,,,,,,,,,,,,,19181,,,,4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,,,,,,,,,,,,,,,
,Barnsley East and Mexborough,,2001,65655,32509,,,,,,,,,,,4024,,,,,,,,,,,,,,,,,,21945,,,,5156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,,,,,,,662,,,,,,,
,Barnsley West and Penistone,,2001,65291,34564,,,,,,,,,,,7892,,,,,,,,,,,,,,,,,,20244,,,,6428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barrow and Furness,,2001,64746,39020,,,,,,,,,,,11835,,,,,,,,,,,,,,,,,,21724,,,,4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,
,Basildon,,2001,74121,40875,,,,,,,,,,,13813,,,,,,,,,,,,,,,,,,21551,,,,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,,,,,,,,1397,,,,,,,
,Basingstoke,,2001,79110,47995,,,,,,,,,,,20490,,,,,,,,,,,,,,,,,,19610,,,,6693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,,,,,,,
,Bassetlaw,,2001,68302,38895,,,,,,,,,,,11758,,,,,,,,,,,,,,,,,,21506,,,,4942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,,,,,,,,,,,,,,
,Bath,,2001,71372,46296,,,,,,,,,,,13478,,,,,,,,1469,,,,,,,,,,7269,,,,23372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,,,,,,,
,Batley and Spen,,2001,63665,38542,,,,,,,,,,,14160,,,,,,,,595,,,,,,,,,,19224,,,,3989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,
