Press Association Reference,Constituency Name,Region,Election Year,Electorate,Valid Votes,Labour,UK Independence Party,Conservative,Plaid Cymru,Liberal Democrat,Independent,Green,Socialist Labour Party,Trade Unionist and Socialist Coalition,Scottish National Party,National Front,Monster Raving Loony Party,Justice for Men & Boys,National Health Action Party,English Democrats,Yorkshire First,Vapers In Power,Patriotic Socialist Party,Democratic Unionist Party,Alliance,Sinn Fein,Social Democratic and Labour Party,Workers Party,Ulster Unionist Party,People Before Profit Alliance,Left Unity - Trade Unionists and Socialists,All People's Party,The Republican Socialist Party,Communities United Party,Cannabis is Safer than Alcohol Party,The Whig Party,The 30-50 Coalition,Red Flag - Anti-Corruption,"Christian Party, Proclaiming Christ's Lordship",Respect,Communist Party of Britain,Liberty GB,Social Democratic Party,The Northern Party,Independence from Europe,The Pilgrim Party,British National Party,Bournemouth Independent Alliance,Patria,British Democratic Party,Pirate Party,The Socialist Party of Great Britain,Independents for Bristol,Left Unity,Speaker,World Peace Through Song,Workers Revolutionary Party,Mebyon Kernow,Rebooting Democracy,Alter Change - Politics. Only Different.,Christian Peoples Alliance Party,The Above and Beyond Party,Liberal,The Peace Party,Class War,Christian Movement for Great Britain,Mainstream,The UK Progressive Democracy Party,Putting Croydon First!,British Independents,Humanity Party,Apni Party,Europeans Party,National Liberal Party,The North East Party,Traditional Unionist Voice,"Beer, Baccy and Scratchings",Scottish Socialist Party,Young People's Party,Linconshire Independents ,Socialist Equality Party,Socialist,Guildford Greenbelt Group,Animal Welfare Party,Communist League Election Campaign,Campaign,U(niversal) Party,Save Hartlepool Hospital,Hoi Polloi,Something New,Digital Democracy,Alliance for Green Socialism,New Independent Centralists,Lewisham People Before Profit,Democratic Reform Party,The Pluralist Party,People First - Gwerin Gyntaf,The Sustainable Population Party,Keep It Real Party,Consensus,Apolitical Democrat,Restore the Family For Children's Sake,Party for a United Thanet,The Party for Poole People Ltd.,Justice and Anti-Corruption Party,Independent Save Withybush Save Lives,The New Society of Worth,The Roman Party. Ave,Independent Political Alliance Party,Rochdale First Party,Islam Zinda Baad Platform,Residents for Uttlesford,We Are The Reality Party,Children of the Atom,The Democratic Party,Movement for Active Democracy,Manston Airport Independent Party,Al-Zebabist Nation of Ooog,Common Sense Party,Southport Party,Ubuntu Party,Population Party UK,Free Public Transport Party,The Principles of Politics Party,Magna Carta Party,The Eccentric Party of Great Britain,The Realists' Party,The Birthday Party,War Veteran's Pro-Traditional Family Party,Wessex Regionalist Party,Reduce VAT in Sport,Give Me Back Elmo,Land Party,Magna Carta Conservation Party Great Britain,The Evolution Party,Independent Community and Health Concern
1,Aberavon,,2015,49821,31523,15416,4971,3742,3663,1397,1137,711,352,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aberconwy,,2015,45525,30148,8514,3467,12513,3536,1391,,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aberdeen North,,2015,67745,43936,11397,,5304,,2050,,,,206,24793,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Aberdeen South,,2015,68056,48551,12991,897,11087,,2252,139,964,,,20221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Airdrie and Shotts,,2015,66792,44286,15108,1088,3389,,678,136,,,,23887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Aldershot,,2015,72430,46191,8468,8253,23369,,4076,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Aldridge-Brownhills,,2015,60215,39497,8835,7751,20558,,1330,,826,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Altrincham and Sale West,,2015,71511,50517,13481,4047,26771,,4235,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alyn and Deeside,,2015,62016,41314,16540,7260,13197,1608,1733,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Amber Valley,,2015,69510,45717,15901,7263,20106,,1360,,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
