Constituency,Nation,Region,Electorate,Votes,Result,Con,Lab,LDem,SNP,PC,UKIP,Grn,Ind,Oth,DUP,SF,AP,SDLP,UUP,WP,PBPA,TUV,CISTA,Speaker
Aberavon,Wales,Wales,49892,33268,Hold,5901,22662,599,,2761,1345,,,,,,,,,,,,,
Aberconwy,Wales,Wales,45251,32150,Hold,14337,13702,941,,3170,,,,,,,,,,,,,,
Aberdeen North,Scotland,Scotland,62130,36757,Hold,8341,11031,1693,15170,,,,522,,,,,,,,,,,
Aberdeen South,Scotland,Scotland,64964,44483,Gain,18746,9143,2600,13994,,,,,,,,,,,,,,,
Airdrie & Shotts,Scotland,Scotland,64146,38009,Hold,8813,14096,802,14298,,,,,,,,,,,,,,,
Aldershot,England,South East,76205,48955,Hold,26955,15477,3637,,,1796,1090,,,,,,,,,,,,
AldridgeBrownhills,England,West Midlands,60363,40235,Hold,26317,12010,1343,,,,,565,,,,,,,,,,,
Altrincham & Sale West,England,North West,73226,52790,Hold,26933,20507,4051,,,,1000,299,,,,,,,,,,,
Alyn & Deeside,Wales,Wales,63013,44754,Hold,18080,23315,1071,,1171,1117,,,,,,,,,,,,,
Amber Valley,England,East Midlands,68065,45811,Hold,25905,17605,1100,,,,650,551,,,,,,,,,,,
Angus,Scotland,Scotland,63840,40193,Gain,18148,5233,1308,15504,,,,,,,,,,,,,,,
Arfon,Wales,Wales,41367,28208,Hold,4614,11427,648,,11519,,,,,,,,,,,,,,
Argyll & Bute,Scotland,Scotland,67230,48069,Hold,15976,6044,8745,17304,,,,,,,,,,,,,,,
Arundel & South Downs,England,South East,79478,60256,Hold,37573,13690,4783,,,1668,2542,,,,,,,,,,,,
Ashfield,England,East Midlands,78076,48007,Hold,20844,21285,868,,,,398,4612,,,,,,,,,,,
Ashford,England,South East,87387,59879,Hold,35318,17840,3101,,,2218,1402,,,,,,,,,,,,
AshtonunderLyne,England,North West,65751,39773,Hold,12710,24005,646,,,1878,534,,,,,,,,,,,,
Aylesbury,England,South East,82546,58743,Hold,32313,17617,5660,,,1296,1237,620,,,,,,,,,,,
"Ayr, Carrick & Cumnock",Scotland,Scotland,71241,46222,Gain,18550,11024,872,15776,,,,,,,,,,,,,,,
Banbury,England,South East,83824,61562,Hold,33388,20989,3452,,,1581,1225,927,,,,,,,,,,,
Banff & Buchan,Scotland,Scotland,67601,41643,Gain,19976,3936,1448,16283,,,,,,,,,,,,,,,
Barking,England,London,77022,47679,Hold,10711,32319,599,,,3031,724,295,,,,,,,,,,,
Barnsley Central,England,Yorkshire & Humber,64204,39089,Hold,9436,24982,549,,,3339,572,211,,,,,,,,,,,
Barnsley East,England,Yorkshire & Humber,69214,40714,Hold,10997,24218,750,,,3247,,1215,287,,,,,,,,,,
Barrow & Furness,England,North West,69474,47590,Hold,22383,22592,1278,,,962,375,,,,,,,,,,,,
Basildon & Billericay,England,East of England,69149,44918,Hold,27381,13981,1548,,,2008,,,,,,,,,,,,,
Basingstoke,England,South East,81875,55960,Hold,29510,20044,3406,,,1681,1106,,213,,,,,,,,,,
Bassetlaw,England,East Midlands,78540,52350,Hold,22615,27567,1154,,,,,1014,,,,,,,,,,,
Bath,England,South West,66778,49582,Gain,17742,7279,23436,,,,1125,,,,,,,,,,,,
Batley & Spen,England,Yorkshire & Humber,80161,53780,Hold,20883,29844,1224,,,,695,1076,58,,,,,,,,,,
Battersea,England,London,77574,55058,Gain,22876,25292,4401,,,357,866,1234,32,,,,,,,,,,
Beaconsfield,England,South East,77524,56028,Hold,36559,12016,4448,,,1609,1396,,,,,,,,,,,,
Beckenham,England,London,67925,51630,Hold,30632,15545,4073,,,,1380,,,,,,,,,,,,
Bedford,England,East of England,71829,48480,Gain,21923,22712,2837,,,,1008,,,,,,,,,,,,
Belfast East,Northern Ireland,Northern Ireland,63495,42890,,446,,,,,,561,54,,23917,894,15443,167,1408,,,,,
Belfast North,Northern Ireland,Northern Ireland,68249,45936,,,,,,,,644,,,21240,19159,2475,2058,,360,,,,
Belfast South,Northern Ireland,Northern Ireland,66105,43705,,246,,,,,,2241,,,13299,7143,7946,11303,1527,,,,,
Belfast West,Northern Ireland,Northern Ireland,62423,40633,,,,,,,,,,,5455,27107,731,2860,,348,4132,,,
Bermondsey & Old Southwark,England,London,87282,58521,Hold,7581,31161,18189,,,838,639,113,,,,,,,,,,,
"Berwickshire, Roxburgh & Selkirk",Scotland,Scotland,73191,52367,Gain,28213,4519,2482,17153,,,,,,,,,,,,,,,
BerwickuponTweed,England,North East,58807,42212,Hold,22145,10364,8916,,,,787,,,,,,,,,,,,
Bethnal Green & Bow,England,London,86075,59825,Hold,7576,42969,2982,,,894,1516,3888,,,,,,,,,,,
Beverley & Holderness,England,Yorkshire & Humber,80657,55678,Hold,32499,18457,2808,,,,756,1158,,,,,,,,,,,
Bexhill & Battle,England,South East,81331,59472,Hold,36854,14689,4485,,,2006,1438,,,,,,,,,,,,
Bexleyheath & Crayford,England,London,65315,45189,Hold,25113,16040,1201,,,1944,601,,290,,,,,,,,,,
Birkenhead,England,North West,64484,43663,Hold,8044,33558,1118,,,,943,,,,,,,,,,,,
"Birmingham, Edgbaston",England,West Midlands,68091,43457,Hold,17207,24124,1564,,,,562,,,,,,,,,,,,
"Birmingham, Erdington",England,West Midlands,65067,37217,Hold,14286,21571,750,,,,610,,,,,,,,,,,,
"Birmingham, Hall Green",England,West Midlands,78271,54310,Hold,8199,42143,3137,,,,831,,,,,,,,,,,,
"Birmingham, Hodge Hill",England,West Midlands,75698,46394,Hold,6580,37606,805,,,1016,387,,,,,,,,,,,,
"Birmingham, Ladywood",England,West Midlands,70023,41307,Hold,5452,34166,1156,,,,533,,,,,,,,,,,,
"Birmingham, Northfield",England,West Midlands,72322,44348,Hold,18929,23596,959,,,,864,,,,,,,,,,,,
"Birmingham, Perry Barr",England,West Midlands,70106,44199,Hold,11726,30109,1080,,,,591,,693,,,,,,,,,,
"Birmingham, Selly Oak",England,West Midlands,74370,48985,Hold,15629,30836,1644,,,,876,,,,,,,,,,,,
"Birmingham, Yardley",England,West Midlands,72581,44502,Hold,8824,25398,7984,,,1916,280,100,,,,,,,,,,,
Bishop Auckland,England,North East,67661,43281,Hold,20306,20808,1176,,,,,,991,,,,,,,,,,
Blackburn,England,North West,70664,47512,Hold,12780,33148,709,,,,,875,,,,,,,,,,,
Blackley & Broughton,England,North West,71648,40113,Hold,8657,28258,737,,,1825,462,,174,,,,,,,,,,
Blackpool North & Cleveleys,England,North West,63967,41007,Hold,20255,18232,747,,,1392,381,,,,,,,,,,,,
Blackpool South,England,North West,58470,34953,Hold,15058,17581,634,,,1339,341,,,,,,,,,,,,
Blaenau Gwent,Wales,Wales,51227,32384,Hold,4783,18787,295,,6880,973,,666,,,,,,,,,,,
Blaydon,England,North East,68459,48084,Hold,13502,26979,4366,,,2459,583,114,81,,,,,,,,,,
Blyth Valley,England,North East,63415,42490,Hold,15855,23770,1947,,,,918,,,,,,,,,,,,
Bognor Regis & Littlehampton,England,South East,75827,51352,Hold,30276,12782,3352,,,1861,993,2088,,,,,,,,,,,
Bolsover,England,East Midlands,73429,46519,Hold,18865,24153,1372,,,2129,,,,,,,,,,,,,
Bolton North East,England,North West,67233,45183,Hold,19073,22870,1316,,,1567,357,,,,,,,,,,,,
Bolton South East,England,North West,68886,42323,Hold,12550,25676,781,,,2779,537,,,,,,,,,,,,
Bolton West,England,North West,72797,51054,Hold,24459,23523,1485,,,1587,,,,,,,,,,,,,
Bootle,England,North West,72872,50288,Hold,6059,42259,837,,,,709,,424,,,,,,,,,,
Boston & Skegness,England,East Midlands,68402,42879,Hold,27271,10699,771,,,3308,547,283,,,,,,,,,,,
Bosworth,England,East Midlands,81661,56168,Hold,31864,13513,9744,,,,1047,,,,,,,,,,,,
Bournemouth East,England,South West,74591,48618,Hold,25221,17284,3168,,,1405,1236,304,,,,,,,,,,,
Bournemouth West,England,South West,73195,44507,Hold,23812,16101,2929,,,,1247,,418,,,,,,,,,,
Bracknell,England,South East,79199,55912,Hold,32882,16886,4186,,,1521,,437,,,,,,,,,,,
Bradford East,England,Yorkshire & Humber,70389,45622,Hold,9291,29831,843,,,1372,289,3576,420,,,,,,,,,,
Bradford South,England,Yorkshire & Humber,67752,41049,Hold,15664,22364,516,,,1758,370,377,,,,,,,,,,,
Bradford West,England,Yorkshire & Humber,67568,45515,Hold,7542,29444,712,,,885,481,6345,106,,,,,,,,,,
Braintree,England,East of England,75316,52326,Hold,32873,14451,2251,,,1835,916,,,,,,,,,,,,
Brecon & Radnorshire,Wales,Wales,56010,41334,Hold,20081,7335,12043,,1299,576,,,,,,,,,,,,,
Brent Central,England,London,80499,52296,Hold,10211,38208,2519,,,556,802,,,,,,,,,,,,
Brent North,England,London,82567,56444,Hold,18435,35496,1614,,,,660,239,,,,,,,,,,,
Brentford & Isleworth,England,London,85164,61629,Hold,23182,35364,3083,,,,,,,,,,,,,,,,
Brentwood & Ongar,England,East of England,75067,52806,Hold,34811,10809,4426,,,1845,915,,,,,,,,,,,,
Bridgend,Wales,Wales,62185,43255,Hold,17213,21913,919,,1783,781,,646,,,,,,,,,,,
Bridgwater & West Somerset,England,South West,89294,58267,Hold,32111,16663,6332,,,2102,1059,,,,,,,,,,,,
Brigg & Goole,England,Yorkshire & Humber,66069,45057,Hold,27219,14856,836,,,1596,550,,,,,,,,,,,,
"Brighton, Kemptown",England,South East,67893,49207,Gain,18835,28703,1457,,,,,212,,,,,,,,,,,
"Brighton, Pavilion",England,South East,75486,57677,Hold,11082,15450,,,,630,30139,376,,,,,,,,,,,
Bristol East,England,South West,72415,50799,Hold,17453,30847,1389,,,,1110,,,,,,,,,,,,
Bristol North West,England,South West,75434,54096,Gain,22639,27400,2814,,,,1243,,,,,,,,,,,,
Bristol South,England,South West,83012,54382,Hold,16679,32666,1821,,,1672,1428,116,,,,,,,,,,,
Bristol West,England,South West,93003,71608,Hold,9877,47213,5201,,,,9216,,101,,,,,,,,,,
Broadland,England,East of England,77334,55971,Hold,32406,16590,4449,,,1594,932,,,,,,,,,,,,
Bromley & Chislehurst,England,London,65117,46662,Hold,25175,15585,3369,,,1383,1150,,,,,,,,,,,,
Bromsgrove,England,West Midlands,73571,54040,Hold,33493,16920,2488,,,1139,,,,,,,,,,,,,
Broxbourne,England,East of England,73502,47491,Hold,29521,13723,1481,,,1918,848,,,,,,,,,,,,
Broxtowe,England,East Midlands,74013,55508,Hold,25983,25120,2247,,,1477,681,,,,,,,,,,,,
Buckingham,England,South East,79615,52724,Hold,,,,,,4168,8574,5683,,,,,,,,,,,34299
Burnley,England,North West,64709,40290,Hold,12479,18832,6046,,,2472,461,,,,,,,,,,,,
Burton,England,West Midlands,73954,49911,Hold,28936,18889,1262,,,,824,,,,,,,,,,,,
Bury North,England,North West,67580,47903,Gain,21308,25683,912,,,,,,,,,,,,,,,,
Bury South,England,North West,73715,50990,Hold,21200,27165,1065,,,1316,,244,,,,,,,,,,,
Bury St Edmunds,England,East of England,86071,62160,Hold,36794,18353,3565,,,,2596,852,,,,,,,,,,,
Caerphilly,Wales,Wales,64381,41297,Hold,10413,22491,725,,5962,1259,447,,,,,,,,,,,,
"Caithness, Sutherland & Easter Ross",Scotland,Scotland,46868,30601,Gain,6690,3833,11061,9017,,,,,,,,,,,,,,,
Calder Valley,England,Yorkshire & Humber,79045,58054,Hold,26790,26181,1952,,,1466,631,1034,,,,,,,,,,,
Camberwell & Peckham,England,London,85613,57412,Hold,7349,44665,3413,,,,1627,358,,,,,,,,,,,
Camborne & Redruth,England,South West,68419,48456,Hold,23001,21424,2979,,,,1052,,,,,,,,,,,,
Cambridge,England,East of England,78544,55934,Hold,9133,29032,16371,,,,1265,133,,,,,,,,,,,
Cannock Chase,England,West Midlands,74540,47872,Hold,26318,17927,794,,,2018,815,,,,,,,,,,,,
Canterbury,England,South East,78182,56800,Gain,25385,25572,4561,,,,1282,,,,,,,,,,,,
Cardiff Central,Wales,Wales,59288,40367,Hold,7997,25193,5415,,999,343,420,,,,,,,,,,,,
Cardiff North,Wales,Wales,67221,52022,Gain,21907,26081,1714,,1738,582,,,,,,,,,,,,,
Cardiff South & Penarth,Wales,Wales,76499,50736,Hold,15318,30182,1430,,2162,942,532,170,,,,,,,,,,,
Cardiff West,Wales,Wales,66775,46629,Hold,13874,26425,1214,,4418,698,,,,,,,,,,,,,
Carlisle,England,North West,62294,43056,Hold,21472,18873,1256,,,1455,,,,,,,,,,,,,
Carmarthen East & Dinefwr,Wales,Wales,55976,41029,Hold,10778,12219,920,,16127,985,,,,,,,,,,,,,
Carmarthen West & South Pembrokeshire,Wales,Wales,58565,42226,Hold,19771,16661,956,,3933,905,,,,,,,,,,,,,
Carshalton & Wallington,England,London,70849,50753,Hold,19450,9360,20819,,,,501,434,189,,,,,,,,,,
Castle Point,England,East of England,69470,44710,Hold,30076,11204,1049,,,2381,,,,,,,,,,,,,
Central Ayrshire,Scotland,Scotland,68999,45087,Hold,15504,11762,1050,16771,,,,,,,,,,,,,,,
Central Devon,England,South West,74370,57844,Hold,31278,15598,6770,,,1326,1531,871,470,,,,,,,,,,
Central Suffolk & North Ipswich,England,East of England,78116,56504,Hold,33992,16807,2431,,,1635,1639,,,,,,,,,,,,
