"Ulster.Unionist","Alliance","The.Workers...NI.","Democratic.Unionist","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Independent.Ulster.Unionist","Constituency","CV","FPTP","Labour","Liberal","Conservative","Plaid.Cymru","Social.Democratic","Scottish.National","Green","Independent.Labour","Speaker"
33460,0,0,0,0,0,0,0,"Antrim East","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,41305,0,0,0,0,"Antrim North","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0
36406,0,0,0,0,0,0,0,"Antrim South","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,32033,0,875.999999999991,0,0,0,0,"Belfast East","Alliance","Democratic.Unionist",0,0,0,0,0,0,0,0,0
0,0,19294,0,0,11851,0,0,"Belfast North","The.Workers...NI.","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,32706,0,0,0,0,0,0,"Belfast South","Alliance","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,0,40968,0,0,"Belfast West","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,7931.99999999999,0,0,0,0,18420,14467,"Down North","Ulster.Popular.Unionist","Ulster.Popular.Unionist",0,0,0,0,0,0,0,0,0
3346.00000000001,0,0,0,53188,0,0,0,"Down South","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0
33420,0,0,0,0,21955,0,0,"Fermanagh and South Tyrone","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,48631,0,0,0,"Foyle","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0
41588,0,0,0,0,0,0,0,"Lagan Valley","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
48543,0,0,0,0,0,0,0,"Londonderry East","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
