"Ulster.Unionist","Alliance","The.Workers...NI.","Democratic.Unionist","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Independent.Ulster.Unionist","Constituency","CV","FPTP","Labour","Liberal","Conservative","Plaid.Cymru","Social.Democratic","Scottish.National","Green","Independent.Labour","Speaker"
100,0,0,0,0,0,0,0,"Antrim East","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,99.9999999999999,0,0,0,0,"Antrim North","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Antrim South","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,70.8897842963954,0,29.1102157036048,0,0,0,0,"Belfast East","Alliance","Democratic.Unionist",0,0,0,0,0,0,0,0,0
47.8607641061134,3.47929963535324,48.6599362585333,0,0,0,0,0,"Belfast North","The.Workers...NI.","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,99.9999999999999,0,0,0,0,0,0,"Belfast South","Alliance","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,"Belfast West","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,19.4321271956688,0,0,0,0,45.126044244102,35.4418285602293,"Down North","Ulster.Popular.Unionist","Ulster.Popular.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,100,0,0,0,"Down South","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0
17.4849770967364,0,0,0,0,82.5150229032636,0,0,"Fermanagh and South Tyrone","Sinn.Fein","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,100,0,0,0,"Foyle","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Lagan Valley","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Londonderry East","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,100,0,0,0,"Newry and Armagh","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Strangford","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,74.2310084736283,25.7689915263717,0,0,0,"Ulster Mid","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Upper Bann","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberdeen North","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberdeen South","Social.Democratic","Labour",0,0,0,0,99.9999999999999,0,0,0,0
0,0,0,0,0,0,0,0,"Aldershot","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aldridge-Brownhills","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Altrincham and Sale","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Alyn and Deeside","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Amber Valley","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Angus East","Scottish.National","Scottish.National",0,0,0,0,0,99.9999999999999,0,0,0
0,0,0,0,0,0,0,0,"Argyll and Bute","Liberal","Liberal",0,99.9999999999998,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Arundel","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashfield","Liberal","Labour",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashford","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashton-under-Lyne","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aylesbury","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ayr","Labour","Conservative",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Banbury","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Banff and Buchan","Scottish.National","Scottish.National",0,0,0,0,0,100,0,0,0
0,0,0,0,0,0,0,0,"Barking","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley Central","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley East","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley West and Penistone","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barrow and Furness","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Basildon","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Basingstoke","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bassetlaw","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bath","Social.Democratic","Conservative",0,0,0,0,99.9999999999999,0,0,0,0
0,0,0,0,0,0,0,0,"Batley and Spen","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Battersea","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Beaconsfield","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Beckenham","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bedfordshire Mid","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bedfordshire North","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bedfordshire South West","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Berkshire East","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Berwick upon Tweed","Liberal","Liberal",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bethnal Green and Stepney","Liberal","Labour",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Beverley","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bexhill and Battle","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bexleyheath","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Billericay","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birkenhead","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Edgbaston","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Erdington","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Hall Green","Social.Democratic","Conservative",0,0,0,0,99.9999999999998,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Hodge Hill","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Ladywood","Labour","Labour",99.9999999999996,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Northfield","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Perry Barr","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Selly Oak","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Sparkbrook","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Yardley","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birminghan Small Heath","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bishop Auckland","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blaby","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blackburn","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blackpool North","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blackpool South","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blaenau Gwent","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blaydon","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blyth Valley","Social.Democratic","Labour",0,0,0,0,99.9999999999998,0,0,0,0
0,0,0,0,0,0,0,0,"Bolsover","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bolton North East","Conservative","Conservative",1.30768816648453,0,98.6923118335158,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bolton South East","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bolton West","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Boothferry","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bootle","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bosworth","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bournemouth East","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bournemouth West","Social.Democratic","Conservative",0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,0,0,"Bow and Poplar","Liberal","Labour",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bradford North","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bradford South","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bradford West","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Braintree","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brecon and Radnor","Liberal","Liberal",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brent East","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brent North","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brent South","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brentford and Isleworth","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brentwood and Ongar","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bridgend","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bridgwater","Social.Democratic","Conservative",0,0,0,0,99.9999999999999,0,0,0,0
0,0,0,0,0,0,0,0,"Bridlington","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brigg and Cleethorpes","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brighton Kemptown","Conservative","Conservative",0,0,99.9999999999997,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brighton Pavilion","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol East","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol North West","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol South","Social.Democratic","Labour",0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol West","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bromsgrove","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Broxbourne","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Broxtowe","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Buckingham","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Burnley","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Burton","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bury North","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bury South","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bury St. Edmunds","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caernarfon","Plaid.Cymru","Plaid.Cymru",0,0,0,99.9999999999999,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caerphilly","Labour","Labour",99.9999999999997,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caithness and Sutherland","Social.Democratic","Social.Democratic",0,0,0,0,99.9999999999997,0,0,0,0
0,0,0,0,0,0,0,0,"Calder Valley","Liberal","Conservative",0,66.6484086649561,33.3515913350442,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridge","Social.Democratic","Conservative",0,0,0,0,99.9999999999996,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridgeshire North East","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridgeshire South East","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridgeshire South West","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cannock and Burntwood","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Canterbury","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff Central","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff North","Social.Democratic","Conservative",0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff South and Penarth","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff West","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carlisle","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carmarthen","Green","Labour",0,0,0,0,0,0,99.9999999999999,0,0
0,0,0,0,0,0,0,0,"Carrick, Cumnock and Doon Valley","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carshalton and Wallington","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Castle Point","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ceredigion and Pembroke North","Liberal","Liberal",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cheadle","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chelmsford","Liberal","Conservative",0,99.9999999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chelsea","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cheltenham","Liberal","Conservative",0,99.9999999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chertsey and Walton","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chesham and Amersham","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chester, City of","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chesterfield","Liberal","Labour",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chichester","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chingford","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chipping Barnet","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chislehurst","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chorley","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Christchurch","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cirencester and Tewkesbury","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"City of London and Westminster South","Conservative","Conservative",0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clackmannan","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clwyd North West","Conservative","Conservative",0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clwyd South West","Social.Democratic","Labour",0,0,0,0,99.9999999999999,0,0,0,0
0,0,0,0,0,0,0,0,"Clydebank and Milngavie","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clydesdale","Labour","Labour",100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Colchester North","Social.Democratic","Conservative",0,0,0,0,99.9999999999998,0,0,0,0
0,0,0,0,0,0,0,0,"Colchester South and Maldon","Social.Democratic","Conservative",0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,0,0,"Colne Valley","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Congleton","Liberal","Conservative",0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Conwy","Liberal","Conservative",0,99.9999999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Copeland","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Corby","Conservative","Conservative",0,0,99.9999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cornwall North","Liberal","Conservative",0,100,0,0,0,0,0,0,0
