"Conservative","Natural.Law","Ulster.Unionist","Democratic.Unionist","Alliance","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Constituency","CV","FPTP","Labour","Liberal.Democrat","Plaid.Cymru","Scottish.National","Liberal","Green","Independent.Conservative","Independent.Labour","Social.Democrat","Speaker"
0,0,0,0,39251,0,0,0,"Antrim East","Alliance","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,45501,0,0,0,0,"Antrim North","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,41797,0,0,0,0,0,"Antrim South","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,24363,8845.00000000003,0,0,0,"Belfast East","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,34109,0,"Belfast North","Sinn.Fein","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,2147,9631.00000000006,0,20569,0,0,0,"Belfast South","Alliance","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,39220,0,"Belfast West","Sinn.Fein","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
25651,0,0,0,0,0,0,19305,"Down North","Conservative","Ulster.Popular.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,61577,0,0,"Down South","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
0,0,48325,0,0,0,4962.00000000001,0,"Fermanagh and South Tyrone","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,51376,0,0,"Foyle","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
0,0,48374,0,0,0,0,0,"Lagan Valley","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,52735,0,0,0,0,0,"Londonderry East","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,52574,0,0,"Newry and Armagh","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
