"Conservative","Natural.Law","Ulster.Unionist","Democratic.Unionist","Alliance","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Constituency","CV","FPTP","Labour","Liberal.Democrat","Plaid.Cymru","Scottish.National","Liberal","Green","Independent.Conservative","Independent.Labour","Social.Democrat","Speaker"
0,0,0,0,100,0,0,0,"Antrim East","Alliance","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,"Antrim North","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,"Antrim South","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,99.9999999999999,0,0,0,0,"Belfast East","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,"Belfast North","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,80.2175700209559,0,19.782429979044,0,0,0,"Belfast South","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,14.2084505419942,85.7915494580057,0,"Belfast West","Sinn.Fein","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
57.0580122786725,0,0,0,0,0,0,42.9419877213275,"Down North","Conservative","Ulster.Popular.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,"Down South","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
0,0,16.6401455786251,0,0,0,83.3598544213749,0,"Fermanagh and South Tyrone","Sinn.Fein","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,"Foyle","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
0,0,99.9999999999999,0,0,0,0,0,"Lagan Valley","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,"Londonderry East","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,"Newry and Armagh","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0
48.1960490375932,5.19280955281428,0,0,46.6111414095925,0,0,0,"Strangford","Conservative","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,35.3931228447574,0,64.6068771552426,0,0,"Ulster Mid","Social.Democratic.and.Labour","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,"Upper Bann","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberdeen North","Labour","Labour",100,0,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Aberdeen South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Aldershot","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Aldridge-Brownhills","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Altrincham and Sale","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Alyn and Deeside","Labour","Labour",99.9999999999997,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Amber Valley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Angus East","Scottish.National","Scottish.National",0,0,0,99.9999999999996,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Argyll and Bute","Liberal.Democrat","Liberal.Democrat",0,100,0,0,0,0,0,0,0,0
