"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
33202,0,0,0,0,0,0,0,0,0,0,"Antrim East","Alliance","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,45606,0,0,0,0,0,0,0,0,"Antrim North","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,40195,0,"Antrim South","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38251,0,0,0,0,0,0,0,0,"Belfast East","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,539.000000000007,0,0,0,0,0,40616,0,"Belfast North","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7327.99999999999,0,0,0,0,0,10928,0,19446,0,0,"Belfast South","Social.Democratic.and.Labour","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,45062,0,0,0,"Belfast West","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22442,0,0,0,0,0,0,0,0,0,12817,"Down North","Alliance","United.Kingdom.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,49486,0,0,"Down South","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,48290,0,"Fermanagh and South Tyrone","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47815,0,0,"Foyle","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,44107,0,"Lagan Valley","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9857.99999999998,19780,0,80.9999999999994,2208,0,0,6174.99999999999,0,0,"Londonderry East","Democratic.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,53275,0,0,"Newry and Armagh","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3711.00000000001,0,0,0,0,0,0,37908,0,"Strangford","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,31427.9999999999,14617,0,0,"Tyrone West","Sinn.Fein","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,50431,0,0,0,"Ulster Mid","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,47233,0,"Upper Bann","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",0,35621.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen Central","Referendum","Labour",0,0,0,0,0,0,35616,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen North","Referendum","Labour",0,0,0,0,0,0,38415,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen South","Liberal.Democrat","Labour",0,0,0,44062,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeenshire West and Kincardine","Liberal.Democrat","Liberal.Democrat",0,0,0,43202,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Airdrie and Shotts","Labour","Labour",0,41181,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aldershot","Liberal.Democrat","Conservative",0,0,0,53790,0,0,0,0,0,0,0,0,0,0,0
0,46370,0,0,0,0,0,0,0,0,0,"Aldridge-Brownhills","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51782,0,0,0,0,0,0,0,0,0,"Altrincham and Sale West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Alyn and Deeside","Labour","Labour",0,41948,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Amber Valley","Labour","Labour",0,54774.9999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Angus","Scottish.National","Scottish.National",0,0,0,0,0,0,0,43076,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Argyll and Bute","Liberal.Democrat","Liberal.Democrat",0,0,0,35720,0,0,0,0,0,0,0,0,0,0,0
0,51337,0,0,0,0,0,0,0,0,0,"Arundel and South Downs","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ashfield","Labour","Labour",0,50603,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55294,0,0,0,0,0,0,0,0,0,"Ashford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ashton-under-Lyne","Labour","Labour",0,46822,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57554,0,0,0,0,0,0,0,0,0,"Aylesbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ayr","Labour","Labour",0,44755.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58445.9999999999,0,0,0,0,0,0,0,0,0,"Banbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Banff and Buchan","Scottish.National","Scottish.National",0,0,0,0,0,0,0,40178,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barking","Labour","Labour",0,18413.0000000027,0,0,0,0,14550.9999999974,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barnsley Central","Labour","Labour",0,36485,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barnsley East and Mexborough","Labour","Labour",0,43134,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barnsley West and Penistone","Labour","Labour",0,42208,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barrow and Furness","Labour","Labour",0,46234.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Basildon","Labour","Labour",0,53081.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56818.9999999998,0,0,0,0,0,0,0,0,0,"Basingstoke","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bassetlaw","Labour","Labour",0,48001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bath","Liberal.Democrat","Liberal.Democrat",0,0,0,53988.9999999997,0,0,0,0,0,0,0,0,0,0,0
0,46965,0,0,0,0,0,0,0,0,0,"Batley and Spen","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47270,0,0,0,0,0,0,0,0,0,"Battersea","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48621,0,0,0,0,0,0,0,0,0,"Beaconsfield","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53961.9999999999,0,0,0,0,0,0,0,0,0,"Beckenham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bedford","Labour","Labour",0,48944,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52516.0000000001,0,0,0,0,0,0,0,0,0,"Bedfordshire Mid","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52864,0,0,0,0,0,0,0,0,0,"Bedfordshire South West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Berwick upon Tweed","Liberal.Democrat","Liberal.Democrat",0,0,0,41802.9999999999,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bethnal Green and Bow","Liberal","Labour",0,0,43565,0,0,0,0,0,0,0,0,0,0,0,0
0,52542,0,0,0,0,0,0,0,0,0,"Beverley and Holderness","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48993.9999999999,0,0,0,0,0,0,0,0,0,"Bexhill and Battle","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48223.0000000001,0,0,0,0,0,0,0,0,0,"Bexleyheath and Crayford","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52043,0,0,0,0,0,0,0,0,0,"Billericay","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birkenhead","Labour","Labour",0,39323,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48465,0,0,0,0,0,0,0,0,0,"Birmingham Edgbaston","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham Erdington","Labour","Labour",0,40407,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham Hall Green","Labour","Labour",0,41818.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham Hodge Hill","Labour","Labour",0,34147,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham Ladywood","Labour","Labour",0,37977,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham Northfield","Labour","Labour",0,38846.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
