"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
94.7438922050644,5.25610779493563,0,0,0,0,0,0,0,0,0,"Antrim East","Alliance","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,"Antrim North","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,100,0,"Antrim South","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,"Belfast East","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.30968290608677,0,0,0,0,0,98.6903170939132,0,"Belfast North","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,29.0405310822938,0,70.9594689177062,0,0,"Belfast South","Social.Democratic.and.Labour","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,"Belfast West","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.6489974190987,0,0,0,0,0,0,0,0,0,36.3510025809013,"Down North","Alliance","United.Kingdom.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,0,0,"Down South","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,100,0,"Fermanagh and South Tyrone","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,0,0,"Foyle","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,100,0,"Lagan Valley","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20.8815825034834,49.8581700880159,0,0.212587265760359,5.07368569731191,0,0,17.1690432750158,6.80493117041267,0,"Londonderry East","Democratic.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,0,0,"Newry and Armagh","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,100,0,"Strangford","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,73.0850538385495,26.9149461614505,0,0,"Tyrone West","Sinn.Fein","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,99.9999999999999,0,0,0,"Ulster Mid","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,100,0,"Upper Bann","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",0,99.9999999999931,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen Central","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen North","Scottish.National","Labour",0,0,0,0,0,0,0,100.000000000013,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen South","Liberal.Democrat","Labour",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeenshire West and Kincardine","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Airdrie and Shotts","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aldershot","Liberal.Democrat","Conservative",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,99.999999999996,0,0,0,0,0,0,0,0,0,"Aldridge-Brownhills","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000006,0,0,0,0,0,0,0,0,0,"Altrincham and Sale West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Alyn and Deeside","Labour","Labour",0,99.9999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Amber Valley","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Angus","Scottish.National","Scottish.National",0,0,0,0,0,0,0,100.000000000009,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Argyll and Bute","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Arundel and South Downs","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ashfield","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Ashford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ashton-under-Lyne","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aylesbury","Liberal.Democrat","Conservative",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000006,0,0,0,0,0,0,0,0,0,"Ayr","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999958,0,0,0,0,0,0,0,0,0,"Banbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Banff and Buchan","Scottish.National","Scottish.National",0,0,0,0,0,0,0,100.000000000019,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barking","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barnsley Central","Labour","Labour",0,99.9999999999929,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barnsley East and Mexborough","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barnsley West and Penistone","Labour","Labour",0,99.9999999999932,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Barrow and Furness","Labour","Labour",0,99.9999999999931,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Basildon","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999956,0,0,0,0,0,0,0,0,0,"Basingstoke","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bassetlaw","Labour","Labour",0,100.000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bath","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000002,0,0,0,0,0,0,0,0,0,"Batley and Spen","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Battersea","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Beaconsfield","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Beckenham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bedford","Referendum","Labour",0,0,0,0,0,0,100.000000000008,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Bedfordshire Mid","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999959,0,0,0,0,0,0,0,0,0,"Bedfordshire South West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Berwick upon Tweed","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bethnal Green and Bow","Liberal","Labour",4.97704124030191,0,95.0229587596948,0,0,0,0,0,0,0,0,0,0,0,0
