"UK.Independence.Party","Conservative","Green","Democratic.Unionist.Party","Alliance","Sinn.Fein","Social.Democratic.and.Labour.Party","Ulster.Unionist.Party","Cannabis.is.Safer.than.Alcohol.Party","Traditional.Unionist.Voice","Ind86","Constituency","CV","FPTP","Labour","Plaid.Cymru","Liberal.Democrat","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Respect","Speaker","Ind38"
0,0,0,0,39682,0,0,0,0,0,0,"Belfast East","Alliance","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,38958,0,187.000000000011,0,0,0,0,0,"Belfast North","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,18486,0,20110,0,0,0,0,"Belfast South","Social.Democratic.and.Labour.Party","Social.Democratic.and.Labour.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,27934,0,0,0,0,0,"Belfast West","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
17796,0,0,0,3388.00000000002,0,0,0,0,12313,0,"East Antrim","UK.Independence.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,34714,0,0,0,0,0,0,0,"East Londonderry","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,19320,0,31544,0,0,0,"Fermanagh and South Tyrone","Ulster.Unionist.Party","Ulster.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,37002,0,0,0,0,"Foyle","Social.Democratic.and.Labour.Party","Social.Democratic.and.Labour.Party",0,0,0,0,0,0,0,0,0
0,0,0,39039,0,0,0,0,0,0,0,"Lagan Valley","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,40426,0,0,0,0,0,"Mid Ulster","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,0,0,0,0,49877,0,0,0,0,0,"Newry and Armagh","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,0,0,37625,0,0,0,0,0,4225,0,"North Antrim","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
528.000000000004,9055.00000000001,6822,0,0,0,0,0,1853,0,17689,"North Down","Ind86","Ind86",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,36523,0,0,0,"South Antrim","Ulster.Unionist.Party","Ulster.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,42697,0,0,0,0,"South Down","Social.Democratic.and.Labour.Party","Social.Democratic.and.Labour.Party",0,0,0,0,0,0,0,0,0
0,0,0,33924,0,0,0,0,0,0,0,"Strangford","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,46868,0,0,0,"Upper Bann","Ulster.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,38488,0,0,0,0,0,"West Tyrone","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",30034.0000000001,0,0,0,0,0,0,0,0
0,0,30147.9999999999,0,0,0,0,0,0,0,0,"Aberconwy","Green","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen North","Scottish.National.Party","Scottish.National.Party",0,0,0,0,43750,0,0,0,0
0,0,48412,0,0,0,0,0,0,0,0,"Aberdeen South","Green","Scottish.National.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Airdrie and Shotts","Labour","Scottish.National.Party",44150,0,0,0,0,0,0,0,0
0,46191,0,0,0,0,0,0,0,0,0,"Aldershot","Conservative","Conservative",0,0,0,0,0,0,0,0,0
39300,0,0,0,0,0,0,0,0,0,0,"Aldridge-Brownhills","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,50517,0,0,0,0,0,0,0,0,0,"Altrincham and Sale West","Conservative","Conservative",0,0,0,0,0,0,0,0,0
41314.0000000001,0,0,0,0,0,0,0,0,0,0,"Alyn and Deeside","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
45717,0,0,0,0,0,0,0,0,0,0,"Amber Valley","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,44485,0,0,0,0,0,0,0,0,"Angus","Green","Scottish.National.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Arfon","Plaid.Cymru","Plaid.Cymru",0,26428,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Argyll and Bute","Liberal.Democrat","Scottish.National.Party",0,0,51883,0,0,0,0,0,0
0,56477,0,0,0,0,0,0,0,0,0,"Arundel and South Downs","Conservative","Conservative",0,0,0,0,0,0,0,0,0
47256.0000000001,0,0,0,0,0,0,0,0,0,0,"Ashfield","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,57371.9999999999,0,0,0,0,0,0,0,0,0,"Ashford","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ashton-under-Lyne","Labour","Labour",38918.0000000001,0,0,0,0,0,0,0,0
