"UK.Independence.Party","Conservative","Green","Democratic.Unionist.Party","Alliance","Sinn.Fein","Social.Democratic.and.Labour.Party","Ulster.Unionist.Party","Cannabis.is.Safer.than.Alcohol.Party","Traditional.Unionist.Voice","Ind86","Constituency","CV","FPTP","Labour","Plaid.Cymru","Liberal.Democrat","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Respect","Speaker","Ind38"
0,0,0,0,100,0,0,0,0,0,0,"Belfast East","Alliance","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,84.4720444731995,0,15.5279555268006,0,0,0,0,0,"Belfast North","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,49.2923835119425,0,50.7076164880575,0,0,0,0,"Belfast South","Social.Democratic.and.Labour.Party","Social.Democratic.and.Labour.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,"Belfast West","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
45.6714115070889,0,0,42.0314300750089,12.2971584179023,0,0,0,0,0,0,"East Antrim","UK.Independence.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,"East Londonderry","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,26.682701194322,0,73.317298805678,0,0,0,"Fermanagh and South Tyrone","Ulster.Unionist.Party","Ulster.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,99.9999999999999,0,0,0,0,"Foyle","Social.Democratic.and.Labour.Party","Social.Democratic.and.Labour.Party",0,0,0,0,0,0,0,0,0
0,0,0,99.9999999999999,0,0,0,0,0,0,0,"Lagan Valley","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,"Mid Ulster","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,"Newry and Armagh","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,0,0,56.9810709027417,0,0,0,0,0,43.0189290972583,0,"North Antrim","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
3.98550573740484,24.5067409200052,17.4874675656645,0,0,0,0,0,4.81172873461323,0,49.2085570423123,"North Down","Ind86","Ind86",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,"South Antrim","Ulster.Unionist.Party","Ulster.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,100,0,0,0,0,"South Down","Social.Democratic.and.Labour.Party","Social.Democratic.and.Labour.Party",0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,"Strangford","Democratic.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,"Upper Bann","Ulster.Unionist.Party","Democratic.Unionist.Party",0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,0,0,0,0,"West Tyrone","Sinn.Fein","Sinn.Fein",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,"Aberconwy","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Aberdeen North","Scottish.National.Party","Scottish.National.Party",0,0,0,0,100,0,0,0,0
0,0,100,0,0,0,0,0,0,0,0,"Aberdeen South","Green","Scottish.National.Party",0,0,0,0,0,0,0,0,0
