"","Party","Year","Change"
"1","Con",2017,-0.0938461538461539
"2","Lab",2017,0.0169230769230769
"3","LDem",2017,0.0553846153846154
"4","SNP",2017,-0.0215384615384615
"5","PC",2017,0.00153846153846154
"6","UKIP",2017,0.0215384615384615
"7","Grn",2017,0.0169230769230769
"8","Ind",2017,0
"9","Oth",2017,0.00307692307692308
"10","DUP",2017,-0.00461538461538462
"11","SF",2017,-0.00307692307692308
"12","AP",2017,0.00153846153846154
"13","SDLP",2017,0.00307692307692308
"14","UUP",2017,0.00307692307692308
"15","WP",2017,0
"16","PBPA",2017,0
"17","TUV",2017,0
"18","CISTA",2017,0
"19","Speaker",2017,0
"20","FPTP",2017,0
"21","Labour",2015,-0.0307692307692308
"22","UK.Independence.Party",2015,0.138461538461538
"23","Conservative",2015,-0.170769230769231
"24","Plaid.Cymru",2015,0.00307692307692308
"25","Liberal.Democrat",2015,0.0646153846153846
"26","Independent",2015,0
"27","Green",2015,0.0384615384615385
"28","Socialist.Labour.Party",2015,0
"29","Trade.Unionist.and.Socialist.Coalition",2015,0.00153846153846154
"30","Scottish.National.Party",2015,-0.0430769230769231
"31","National.Front",2015,0
"32","Monster.Raving.Loony.Party",2015,0
"33","Justice.for.Men...Boys",2015,0
"34","National.Health.Action.Party",2015,0
"35","English.Democrats",2015,0
"36","Yorkshire.First",2015,0
"37","Vapers.In.Power",2015,0
"38","Patriotic.Socialist.Party",2015,0
"39","Democratic.Unionist.Party",2015,-0.00461538461538461
"40","Alliance",2015,0.00153846153846154
"41","Sinn.Fein",2015,0
"42","Social.Democratic.and.Labour.Party",2015,0
"43","Workers.Party",2015,0
"44","Ulster.Unionist.Party",2015,0.00153846153846154
"45","People.Before.Profit.Alliance",2015,0
"46","Left.Unity...Trade.Unionists.and.Socialists",2015,0
"47","All.People.s.Party",2015,0
"48","The.Republican.Socialist.Party",2015,0
"49","Communities.United.Party",2015,0
"50","Cannabis.is.Safer.than.Alcohol.Party",2015,0
"51","The.Whig.Party",2015,0
"52","The.30.50.Coalition",2015,0
"53","Red.Flag...Anti.Corruption",2015,0
"54","Christian.Party..Proclaiming.Christ.s.Lordship",2015,0
"55","Respect",2015,0
"56","Communist.Party.of.Britain",2015,0
"57","Liberty.GB",2015,0
"58","Social.Democratic.Party",2015,0
"59","The.Northern.Party",2015,0
"60","Independence.from.Europe",2015,0
"61","The.Pilgrim.Party",2015,0
"62","British.National.Party",2015,0
"63","Bournemouth.Independent.Alliance",2015,0
"64","Patria",2015,0
"65","British.Democratic.Party",2015,0
"66","Pirate.Party",2015,0
"67","The.Socialist.Party.of.Great.Britain",2015,0
"68","Independents.for.Bristol",2015,0
"69","Left.Unity",2015,0
"70","Speaker",2015,0
"71","World.Peace.Through.Song",2015,0
"72","Workers.Revolutionary.Party",2015,0
"73","Mebyon.Kernow",2015,0
"74","Rebooting.Democracy",2015,0
"75","Alter.Change...Politics..Only.Different.",2015,0
"76","Christian.Peoples.Alliance.Party",2015,0
"77","The.Above.and.Beyond.Party",2015,0
"78","Liberal",2015,0
"79","The.Peace.Party",2015,0
"80","Class.War",2015,0
"81","Christian.Movement.for.Great.Britain",2015,0
"82","Mainstream",2015,0
"83","The.UK.Progressive.Democracy.Party",2015,0
"84","Putting.Croydon.First.",2015,0
"85","British.Independents",2015,0
"86","Humanity.Party",2015,0
"87","Apni.Party",2015,0
"88","Europeans.Party",2015,0
"89","National.Liberal.Party",2015,0
"90","The.North.East.Party",2015,0
"91","Traditional.Unionist.Voice",2015,0
"92","Beer..Baccy.and.Scratchings",2015,0
"93","Scottish.Socialist.Party",2015,0
"94","Young.People.s.Party",2015,0
"95","Linconshire.Independents",2015,0
"96","Socialist.Equality.Party",2015,0
"97","Socialist",2015,0
"98","Guildford.Greenbelt.Group",2015,0
"99","Animal.Welfare.Party",2015,0
"100","Communist.League.Election.Campaign",2015,0
"101","Campaign",2015,0
"102","U.niversal..Party",2015,0
"103","Save.Hartlepool.Hospital",2015,0
"104","Hoi.Polloi",2015,0
"105","Something.New",2015,0
"106","Digital.Democracy",2015,0
"107","Alliance.for.Green.Socialism",2015,0
"108","New.Independent.Centralists",2015,0
"109","Lewisham.People.Before.Profit",2015,0
"110","Democratic.Reform.Party",2015,0
"111","The.Pluralist.Party",2015,0
"112","People.First...Gwerin.Gyntaf",2015,0
"113","The.Sustainable.Population.Party",2015,0
"114","Keep.It.Real.Party",2015,0
"115","Consensus",2015,0
"116","Apolitical.Democrat",2015,0
"117","Restore.the.Family.For.Children.s.Sake",2015,0
"118","Party.for.a.United.Thanet",2015,0
"119","The.Party.for.Poole.People.Ltd.",2015,0
"120","Justice.and.Anti.Corruption.Party",2015,0
"121","Independent.Save.Withybush.Save.Lives",2015,0
"122","The.New.Society.of.Worth",2015,0
"123","The.Roman.Party..Ave",2015,0
"124","Independent.Political.Alliance.Party",2015,0
"125","Rochdale.First.Party",2015,0
"126","Islam.Zinda.Baad.Platform",2015,0
"127","Residents.for.Uttlesford",2015,0
"128","We.Are.The.Reality.Party",2015,0
"129","Children.of.the.Atom",2015,0
"130","The.Democratic.Party",2015,0
"131","Movement.for.Active.Democracy",2015,0
"132","Manston.Airport.Independent.Party",2015,0
"133","Al.Zebabist.Nation.of.Ooog",2015,0
"134","Common.Sense.Party",2015,0
"135","Southport.Party",2015,0
"136","Ubuntu.Party",2015,0
"137","Population.Party.UK",2015,0
"138","Free.Public.Transport.Party",2015,0
"139","The.Principles.of.Politics.Party",2015,0
"140","Magna.Carta.Party",2015,0
"141","The.Eccentric.Party.of.Great.Britain",2015,0
"142","The.Realists..Party",2015,0
"143","The.Birthday.Party",2015,0
"144","War.Veteran.s.Pro.Traditional.Family.Party",2015,0
"145","Wessex.Regionalist.Party",2015,0
"146","Reduce.VAT.in.Sport",2015,0
"147","Give.Me.Back.Elmo",2015,0
"148","Land.Party",2015,0
"149","Magna.Carta.Conservation.Party.Great.Britain",2015,0
"150","The.Evolution.Party",2015,0
"151","Independent.Community.and.Health.Concern",2015,0
"152","FPTP",2015,0
"153","AC",2010,0
"154","AD",2010,0
"155","AGS",2010,0
"156","APNI",2010,0
"157","APP",2010,0
"158","AWL",2010,0
"159","AWP",2010,0
"160","BB",2010,0
"161","BCP",2010,0
"162","Bean",2010,0
"163","Best",2010,0
"164","BGPV",2010,0
"165","BIB",2010,0
"166","BIC",2010,0
"167","Blue",2010,0
"168","BNP",2010,0.0230769230769231
"169","BP.Elvis",2010,0
"170","C28",2010,0
"171","Cam.Soc",2010,0
"172","CG",2010,0
"173","Ch.M",2010,0
"174","Ch.P",2010,0.00153846153846154
"175","CIP",2010,0
"176","CITY",2010,0
"177","CNPG",2010,0
"178","Comm",2010,0
