"","Party","Year","Percent"
"1","Con",2017,0.424470450462052
"2","Lab",2017,0.399382138340451
"3","LDem",2017,0.0733749798937495
"4","SNP",2017,0.0303792703873651
"5","PC",2017,0.00505847780207792
"6","UKIP",2017,0.0183151160966602
"7","Grn",2017,0.0162743472087801
"8","Ind",2017,0.00545973268071821
"9","Oth",2017,0.00184427457269712
"10","DUP",2017,0.00908404748331896
"11","SF",2017,0.00742455152806261
"12","AP",2017,0.00200605686035211
"13","SDLP",2017,0.00296525242138922
"14","UUP",2017,0.00258801938453866
"15","Speaker",2017,0.00106587988557026
"16","Oth",2017,0.000307404992217296
"17","Labour",2015,0.304545039876087
"18","UK.Independence.Party",2015,0.126450725224142
"19","Conservative",2015,0.36815442038434
"20","Plaid.Cymru",2015,0.00592012792668456
"21","Liberal.Democrat",2015,0.0787133567787394
"22","Independent",2015,0.00320862566783242
"23","Green",2015,0.0377169335389856
"24","Trade.Unionist.and.Socialist.Coalition",2015,0.00110974704635453
"25","Scottish.National.Party",2015,0.0473872186697892
"26","Democratic.Unionist.Party",2015,0.00600340538332066
"27","Alliance",2015,0.00200556616615482
"28","Sinn.Fein",2015,0.00574184379416784
"29","Social.Democratic.and.Labour.Party",2015,0.00325189345437888
"30","Ulster.Unionist.Party",2015,0.00374471614963617
"31","Speaker",2015,0.0011278621738544
"32","Traditional.Unionist.Voice",2015,0.000538827299627467
"33","Oth",2015,0.00437969046590414
"34","APNI",2010,0.00144039916458061
"35","BNP",2010,0.019008640778151
"36","Ch.P",2010,0.000627265171012117
"37","Con",2010,0.360542871698235
"38","DUP",2010,0.00566620330828988
"39","ED",2010,0.00218360498206592
"40","Grn",2010,0.0096205810344277
"41","ICHC",2010,0.000543998094288781
"42","Ind1",2010,0.00591506138386917
"43","Lab",2010,0.289902714951331
"44","LD",2010,0.230272810160092
"45","PC",2010,0.00557114679918258
"46","Respect",2010,0.00112002976056943
"47","SDLP",2010,0.00373792374756818
"48","SF",2010,0.00579171023704035
"49","SNP",2010,0.0165518914897949
"50","Speaker",2010,0.000770018355135699
"51","TUV",2010,0.000885891633423836
"52","UCUNF",2010,0.0034479373950151
"53","UKIP",2010,0.0309715462386254
"54","Oth",2010,0.00542775361730102
"55","Con",2005,0.323906564987693
"56","LD",2005,0.220216029030448
"57","Lab",2005,0.351734516066231
"58","PC",2005,0.00645885352191451
"59","Ver",2005,0.00150010103618425
"60","Grn",2005,0.0104982321438401
"61","SNP",2005,0.0152299395149746
"62","SSP",2005,0.00160749123275597
