"","Year","System","Wasted"
"1",2017,"First Past the Post",22016215
"2",2017,"Concentrated Vote",165515.999999983
"3",2015,"First Past the Post",22813937
"4",2015,"Concentrated Vote",234333.999999989
"5",2010,"First Past the Post",21122519
"6",2010,"Concentrated Vote",287813.999999991
"7",2005,"First Past the Post",19150430
"8",2005,"Concentrated Vote",263684.000000017
"9",2001,"First Past the Post",18573027
"10",2001,"Concentrated Vote",212848
"11",1997,"First Past the Post",22219761
"12",1997,"Concentrated Vote",221746.999999991
"13",1992,"First Past the Post",23099145
"14",1992,"Concentrated Vote",189059.000000022
"15",1987,"First Past the Post",22690160
"16",1987,"Concentrated Vote",150628.999999992
"17",1983,"First Past the Post",21297953
"18",1983,"Concentrated Vote",282310.000000023
"19",1979,"First Past the Post",21222055
"20",1979,"Concentrated Vote",254512.999999992
